model,commodity,state,RMSE,MAPE,MAE,H1_MAPE,H2_MAPE,H3_MAPE
XGBoost,Beans (white),Borno,2268.929711441777,46.34212307396536,1723.6729814258122,43.80618896239293,47.112287751105285,48.10789250839787
XGBoost,Beans (white),Yobe,2467.4747483897745,63.33716325867931,2105.4767046272286,59.34671315422728,65.74663343535595,64.91814318645469
XGBoost,Rice (imported),Adamawa,2189.804967758597,37.472255020304765,1650.084323640047,40.06947219383065,36.9797579096162,35.36753495746744
XGBoost,Rice (imported),Borno,2136.713097826552,33.840937862447056,1740.6237202309671,41.698641150941555,28.559036227379288,31.26513620902034
XGBoost,Rice (imported),Yobe,2741.4694516402574,53.74242843527901,2487.8104178565954,58.06993843436895,53.095540025778696,50.061806845689375
XGBoost,Rice (local),Adamawa,1353.4565078472688,30.85753793484467,1045.386340060764,31.15146077257777,31.8581132996061,29.563039732350145
XGBoost,Rice (local),Borno,2138.815217816524,52.33195145854467,1901.6058822376424,61.55866160960037,50.513778948915004,44.923413817118636
XGBoost,Rice (local),Yobe,1925.723120087743,53.485701266788034,1758.0495786064428,57.48590732546468,50.942672471046755,52.028524003852674
XGBoost,Tomatoes,Borno,164.70120793832527,57.54011122258739,133.0860086370852,56.86747176039366,57.64539094139243,58.10747096597609
XGBoost,Tomatoes,Yobe,136.5012108186865,57.60586852862185,118.15231115380719,59.70003000837886,53.283779291205946,59.83379628628074
XGBoost,Yam,Adamawa,478.69641567532113,21.71080156823832,382.395758282697,17.218286153353883,14.953597328558882,32.9605212228022
XGBoost,Yam,Borno,1837.3935233220923,64.87443727490364,1680.1539806123974,65.69914485940767,63.07252650484587,65.85164046045739
XGBoost,Yam,Yobe,2005.0215995362428,72.42271177355109,1848.6724908959022,71.2591204171383,73.51779767064156,72.49121723287341
